Number,Name,Position,Experience,Height,Weight,Hometown,Side
0,Jonathan Sutherland,Linebacker,Redshirt Super Senior,"5' 11""",214,"Ottawa, Ontario, Canada / Episcopal (Va.)",Defense
1,KeAndre Lambert-Smith,Wide Receiver,Sophomore,"6' 1""",176,"Norfolk, Va. / Maury",Offense
2,Keaton Ellis,Safety,Junior,"5' 11""",189,"State College, Pa. / State College Area",Defense
3,Johnny Dixon,Cornerback,Junior,6',190,"Tampa, Fla. / Chamberlain",Defense
3,Parker Washington,Wide Receiver,Sophomore,"5' 10""",212,"Sugar Land, Texas / William B. Travis",Offense
4,Kalen King,Cornerback,Sophomore,"5' 11""",189,"Detroit, Mich. / Cass Tech",Defense
5,Cam Miller,Cornerback,Freshman,6',178,"Fernandina Beach, Fla. / Trinity Christian Academy",Defense
5,Mitchell Tinsley,Wide Receiver,Super Senior,"6' 1""",205,"Lee’s Summit, Mo. / Lee’s Summit",Offense
6,Harrison Wallace III,Wide Receiver,Redshirt Freshman,"6' 1""",193,"Montgomery, Ala. / Pike Road High School",Offense
6,Zakee Wheatley,Safety,Redshirt Freshman,"6' 2""",190,"Crofton, Md. / Archbishop Spalding High School",Defense
7,Jaylen Reed,Safety,Sophomore,6',208,"Detroit, Mich. / Martin Luther King High School",Defense
7,Kaden Saunders,Wide Receiver,Freshman,"5' 10""",177,"Columbus, Ohio / Westerville South",Offense
8,Tyler Johnson,Wide Receiver,Freshman,6',189,"Martinsville, Va / Magna Vista",Offense
8,Marquis Wilson,Cornerback,Junior,"5' 11""",180,"Windsor, Conn. / Windsor",Defense
9,Joey Porter Jr.,Cornerback,Redshirt Junior,"6' 2""",194,"Bakersfield, Calif. / North Allegheny (Pa.)",Defense
9,Beau Pribula,Quarterback,Freshman,"6' 2""",198,"York, Pa. / Central York",Offense
10,Mehki Flowers,Safety,Freshman,6',192,"Harrisburg, Pa. / Central Dauphin East",Defense
10,Nicholas Singleton,Running Back,Freshman,6',219,"Shillington, Pa. / Governor Mifflin",Offense
11,Abdul Carter,Linebacker,Freshman,"6' 3""",233,"Philadelphia, Pa. / La Salle College",Defense
11,Christian Veilleux,Quarterback,Redshirt Freshman,"6' 4""",194,"Ottawa, Ontario / The Bullis School",Offense
12,Anthony Ivey,Wide Receiver,Freshman,"5' 11""",191,"Lancaster, Pa. / Manheim Township",Offense
13,Kaytron Allen,Running Back,Freshman,"5' 11""",201,"Norfolk,Va. / IMG Academy",Offense
13,Cristian Driver,Cornerback,Freshman,"5' 11""",192,"Flower Mound, Texas / Liberty Christian",Defense
14,Sean Clifford,Quarterback,Redshirt Super Senior,"6' 2""",212,"Cincinnati, Ohio / Saint Xavier",Offense
14,Tyrece Mills,Linebacker,Sophomore,"6' 1""",205,"Philadelphia, PA / Northeast",Defense
15,Drew Allar,Quarterback,Freshman,"6' 5""",238,"Medina, Ohio / Medina",Offense
16,Ji'Ayir Brown,Safety,Super Senior,"5' 11""",202,"Trenton, N.J. / Trenton Central",Defense
16,Khalil Dinkins,Tight End,Redshirt Freshman,"6' 4""",238,"Wexford, Pa. / North Allegheny High School",Offense
17,Mason Stahl,Wide Receiver,Redshirt Sophomore,6',198,"Pittsburgh, Pa. / Baldwin",Offense
18,Omari Evans,Wide Receiver,Freshman,6',182,"Killeen, Texas / Shoemaker",Offense
18,Davon Townley Jr.,Defensive End,Redshirt Freshman,"6' 6""",267,"Minneapolis, MN / North Community High School",Defense
19,Xavier Copening,Cornerback,Freshman,"6' 1""",187,"Enfield, Conn. / Avon Old Farms",Defense
19,Jaden Dottin,Wide Receiver,Redshirt Sophomore,"6' 2""",198,"Cambridge, Mass. / Suffield Academy (Conn.)",Offense
20,Adisa Isaac,Defensive End,Redshirt Junior,"6' 4""",243,"Brooklyn, N.Y. / Canarsie",Defense
21,Kevin Winston Jr.,Safety,Freshman,"6' 2""",200,"Columbia, Md. / DeMatha Catholic",Defense
23,Curtis Jacobs,Linebacker,Sophomore,"6' 1""",227,"Glen Burnie, Md. / McDonogh School",Defense
24,Jeffrey Davis Jr.,Cornerback,Redshirt Freshman,6',177,"Bristol, Conn. / Kingswood Oxford",Defense
24,Keyvone Lee,Running Back,Sophomore,6',225,"St. Petersburg, Fla. / American Collegiate Academy",Offense
25,Daequan Hardy,Cornerback,Redshirt Junior,"5' 9""",179,"Pittsburgh, Pa. / Penn Hills",Defense
26,Jaden Seider,Safety,Redshirt Junior,"5' 10""",179,"Morgantown, W.Va. / State College Area",Defense
27,Bobby Walchak,Linebacker,Redshirt Freshman,"5' 11""",214,"Pottsville, Pa. / Potsville Area",Defense
28,Zane Durant,Defensive Tackle,Freshman,"6' 1""",276,"Lake Nona, Fla. / Lake Nona",Defense
29,Sebastian Costantini,Safety,Redshirt Junior,"5' 11""",188,"Collegeville, Pa. / Malvern Prep",Defense
30,Amiel Davis,Running Back,Freshman,6',204,"Voorhees, N.J. / Eastern Regional",Offense
31,Kolin Dinkins,Cornerback,Freshman,"6' 2""",182,"Wexford, Pa. / North Allegheny",Defense
32,Keon Wylie,Linebacker,Freshman,"6' 2""",206,"Philadelphia, Pa. / Imhotep Charter",Defense
33,Dani Dennis-Sutton ,Defensive End,Freshman,"6' 5""",253,"Millsboro, Del. / McDonogh School (Md.)",Defense
34,Dominic DeLuca,Linebacker,Redshirt Freshman,"6' 1""",209,"West Pittston, Pa. / Wyoming Area",Defense
34,Tyler Holzworth,Running Back,Redshirt Freshman,6',203,"Milford, N.J. / Delaware Valley Regional",Offense
35,Blaise Sokach-Minnick,Long Snapper,Freshman,"6' 3""",205,"West Pittston, Pa. / Wyoming Area",Offense
35,Jace Tutty,Cornerback,Redshirt Freshman,"5' 11""",188,"Stroudsburg, Pa. / Stroudsburg",Defense
36,Zuriah Fisher,Defensive End,Sophomore,"6' 3""",250,"Aliquippa, Pa. / Aliquippa",Defense
36,Stephen Ripka,Cornerback,Redshirt Freshman,"6' 2""",181,"Spring Mills, Pa. / Penns Valley",Defense
37,Trace Brown,Safety,Freshman,6',157,"Reading, Pa. / Reading",Defense
38,Tank Smith,Running Back,Redshirt Junior,"5' 7""",234,"Pittsburgh, Pa. / Penn Hills",Offense
39,Robbie Dwyer,Linebacker,Redshirt Junior,"6' 1""",259,"Pringle, Pa. / Wyoming Valley West",Defense
39,Jashaun Green,Safety,Freshman,"6' 1""",170,"State College, Pa. / State College Area",Defense
40,Patrick Williams,Wide Receiver,Freshman,6',183,"Brooklyn, N.Y. / Eagle Academy 2",Offense
